"","Big6_Fra_23","Big6_Fre_23","Big6_Laf_23","Big6_Mas_23","Big6_Prn_23","Big6_Urb_23","Big6_Woo_23","Pr_Neo_21","Pr_Stj_21","Pr_Urb_21","YT_Addie_23","YT_Blk_22","YT_Blk_23","YT_Blv_22","YT_Blv_23","YT_Neo_22","YT_Neo_23","YT_Stj_22","YT_Stp_22","YT_Stp_23","YT_Urb_22","YT_Urb_23","YT_War_22","YT_War_23"
"Big6_Fra_23",1,0.28,0.35,0.62,0.04,0.08,0.36,0.7,0.39,0.87,0.72,0.1,0.35,0.04,0.52,0.52,0.52,0.32,0.43,0.36,0.31,0.11,0.05,0.25
"Big6_Fre_23",0.28,1,0.24,0.57,0.29,0.47,0.37,0.42,0.44,0.32,0.18,0.3,0.3,0.04,0.15,0.48,0.35,0.05,0.32,0.32,0.44,0.52,0.26,0.45
"Big6_Laf_23",0.35,0.24,1,0.44,0.14,0.24,0.28,0.39,0.32,0.4,0.29,0.17,0.24,0.03,0.22,0.38,0.32,0.12,0.27,0.25,0.29,0.27,0.13,0.28
"Big6_Mas_23",0.62,0.57,0.44,1,0.43,0.71,0.64,0.8,0.76,0.7,0.46,0.47,0.54,0.07,0.36,0.85,0.66,0.16,0.59,0.57,0.73,0.79,0.4,0.73
"Big6_Prn_23",0.04,0.29,0.14,0.43,1,0.53,0.3,0.22,0.37,0.04,-0.06,0.31,0.22,0.03,-0.02,0.37,0.22,-0.06,0.21,0.24,0.4,0.57,0.29,0.44
"Big6_Urb_23",0.08,0.47,0.24,0.71,0.53,1,0.5,0.38,0.62,0.08,-0.09,0.51,0.37,0.05,-0.02,0.61,0.36,-0.09,0.36,0.4,0.65,0.93,0.47,0.72
"Big6_Woo_23",0.36,0.37,0.28,0.64,0.3,0.5,1,0.49,0.5,0.4,0.24,0.32,0.35,0.04,0.2,0.55,0.41,0.08,0.37,0.36,0.49,0.55,0.28,0.49
"Pr_Neo_21",0.7,0.42,0.39,0.8,0.22,0.38,0.49,1,0.56,0.79,0.59,0.28,0.44,0.05,0.44,0.68,0.59,0.25,0.5,0.45,0.51,0.43,0.21,0.47
"Pr_Stj_21",0.39,0.44,0.32,0.76,0.37,0.62,0.5,0.56,1,0.44,0.26,0.39,0.41,0.05,0.22,0.65,0.48,0.08,0.43,0.43,0.58,0.68,0.34,0.59
"Pr_Urb_21",0.87,0.32,0.4,0.7,0.04,0.08,0.4,0.79,0.44,1,0.82,0.11,0.4,0.05,0.59,0.59,0.6,0.37,0.49,0.4,0.35,0.12,0.05,0.27
"YT_Addie_23",0.72,0.18,0.29,0.46,-0.06,-0.09,0.24,0.59,0.26,0.82,1,0,0.27,0.03,0.5,0.39,0.43,0.33,0.34,0.26,0.17,-0.07,-0.05,0.1
"YT_Blk_22",0.1,0.3,0.17,0.47,0.31,0.51,0.32,0.28,0.39,0.11,0,1,0.25,0.03,0.03,0.4,0.25,-0.03,0.24,0.26,0.41,0.56,0.28,0.44
"YT_Blk_23",0.35,0.3,0.24,0.54,0.22,0.37,0.35,0.44,0.41,0.4,0.27,0.25,1,0.04,0.21,0.46,0.36,0.1,0.32,0.31,0.39,0.41,0.21,0.39
"YT_Blv_22",0.04,0.04,0.03,0.07,0.03,0.05,0.04,0.05,0.05,0.05,0.03,0.03,0.04,1,0.03,0.06,0.05,0.01,0.04,0.04,0.05,0.05,0.03,0.05
"YT_Blv_23",0.52,0.15,0.22,0.36,-0.02,-0.02,0.2,0.44,0.22,0.59,0.5,0.03,0.21,0.03,1,0.31,0.33,0.23,0.26,0.21,0.16,0,-0.01,0.11
"YT_Neo_22",0.52,0.48,0.38,0.85,0.37,0.61,0.55,0.68,0.65,0.59,0.39,0.4,0.46,0.06,0.31,1,0.56,0.14,0.5,0.48,0.62,0.68,0.34,0.62
"YT_Neo_23",0.52,0.35,0.32,0.66,0.22,0.36,0.41,0.59,0.48,0.6,0.43,0.25,0.36,0.05,0.33,0.56,1,0.18,0.41,0.38,0.44,0.41,0.2,0.42
"YT_Stj_22",0.32,0.05,0.12,0.16,-0.06,-0.09,0.08,0.25,0.08,0.37,0.33,-0.03,0.1,0.01,0.23,0.14,0.18,1,0.13,0.1,0.04,-0.09,-0.05,0
"YT_Stp_22",0.43,0.32,0.27,0.59,0.21,0.36,0.37,0.5,0.43,0.49,0.34,0.24,0.32,0.04,0.26,0.5,0.41,0.13,1,0.33,0.41,0.4,0.2,0.39
"YT_Stp_23",0.36,0.32,0.25,0.57,0.24,0.4,0.36,0.45,0.43,0.4,0.26,0.26,0.31,0.04,0.21,0.48,0.38,0.1,0.33,1,0.41,0.44,0.22,0.41
"YT_Urb_22",0.31,0.44,0.29,0.73,0.4,0.65,0.49,0.51,0.58,0.35,0.17,0.41,0.39,0.05,0.16,0.62,0.44,0.04,0.41,0.41,1,0.72,0.36,0.61
"YT_Urb_23",0.11,0.52,0.27,0.79,0.57,0.93,0.55,0.43,0.68,0.12,-0.07,0.56,0.41,0.05,0,0.68,0.41,-0.09,0.4,0.44,0.72,1,0.51,0.78
"YT_War_22",0.05,0.26,0.13,0.4,0.29,0.47,0.28,0.21,0.34,0.05,-0.05,0.28,0.21,0.03,-0.01,0.34,0.2,-0.05,0.2,0.22,0.36,0.51,1,0.4
"YT_War_23",0.25,0.45,0.28,0.73,0.44,0.72,0.49,0.47,0.59,0.27,0.1,0.44,0.39,0.05,0.11,0.62,0.42,0,0.39,0.41,0.61,0.78,0.4,1
